Batting Statistics by Player Ranking in the American Leage
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
                         Marco Hernandez          BOS                      148                      18                       37                       7                        0                        2                        11                       1                        2                        3                        42                       .250                     .279                     .338                     .617                     -0.2                     
                         Johnny Davis             TB                       4                        5                        1                        0                        1                        0                        0                        0                        0                        0                        2                        .250                     .250                     .750                     1.000                    -0.1                     
                         Thairo Estrada           NYY                      64                       12                       16                       3                        0                        3                        12                       4                        0                        3                        15                       .250                     .294                     .438                     .732                     0.2                      
                         Sheldon Neuse            OAK                      56                       3                        14                       3                        0                        0                        7                        0                        0                        4                        19                       .250                     .295                     .304                     .599                     0.2                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
151                      Delino DeShields         TEX                      357                      42                       89                       15                       4                        4                        32                       24                       6                        38                       100                      .249                     .325                     .347                     .672                     1.3                      
                         Stephen Piscotty         OAK                      357                      46                       89                       17                       1                        13                       44                       2                        0                        29                       84                       .249                     .309                     .412                     .720                     0.7                      
153                      Pedro Severino           BAL                      305                      37                       76                       13                       0                        13                       44                       3                        1                        29                       73                       .249                     .321                     .420                     .740                     1.2                      
154                      Matt Chapman             OAK                      583                      102                      145                      36                       3                        36                       91                       1                        1                        73                       147                      .249                     .342                     .506                     .848                     6.7                      
155                      Niko Goodrum             DET                      423                      61                       105                      27                       5                        12                       45                       12                       3                        46                       138                      .248                     .322                     .421                     .743                     1.6                      
156                      Brandon Dixon            DET                      391                      41                       97                       20                       4                        15                       52                       5                        1                        21                       136                      .248                     .290                     .435                     .725                     -0.2                     
157                      Miguel Sano              MIN                      380                      76                       94                       19                       2                        34                       79                       0                        1                        55                       159                      .247                     .346                     .576                     .923                     3.1                      
158                      Cheslor Cuthbert         KC                       309                      24                       76                       14                       0                        9                        40                       1                        0                        19                       67                       .246                     .294                     .379                     .673                     -0.7                     
159                      Dawel Lugo               DET                      273                      28                       67                       11                       4                        6                        26                       0                        0                        8                        59                       .245                     .271                     .381                     .652                     -0.6                     
160                      Sean Murphy              OAK                      53                       14                       13                       5                        0                        4                        8                        0                        0                        6                        16                       .245                     .333                     .566                     .899                     0.6                      

RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
161                      Tyler Wade               NYY                      94                       16                       23                       3                        1                        2                        11                       7                        0                        11                       28                       .245                     .330                     .362                     .692                     0.4                      
162                      Jason Kipnis             CLE                      458                      52                       112                      23                       1                        17                       65                       7                        2                        40                       88                       .245                     .304                     .410                     .715                     0.5                      
163                      Albert Pujols            LAA                      491                      55                       120                      22                       0                        23                       93                       3                        0                        43                       68                       .244                     .305                     .430                     .734                     0.4                      
164                      Dustin Garneau           LAA/OAK                  86                       14                       21                       5                        0                        3                        14                       0                        0                        10                       22                       .244                     .350                     .407                     .757                     0.7                      
165                      Edwin Encarnacion        NYY/SEA                  418                      81                       102                      18                       0                        34                       86                       0                        1                        58                       103                      .244                     .344                     .531                     .875                     2.1                      
166                      Renato Nunez             BAL                      541                      72                       132                      24                       0                        31                       90                       1                        1                        44                       143                      .244                     .311                     .460                     .771                     1.1                      
167                      Richard Urena            TOR                      74                       4                        18                       6                        0                        0                        4                        0                        0                        2                        23                       .243                     .273                     .324                     .597                     -0.1                     
168                      Adam Engel               CHW                      227                      26                       55                       10                       2                        6                        26                       3                        3                        14                       78                       .242                     .304                     .383                     .687                     0.7                      
